tipo,fecha,hora,recinto,nombre,lat,lon,descripcion,link,patrocinado,patrocinado_url
CONCIERTOS,10/9/2025,20:00,CHANGÓ,The Silencers,"40,4320059670131","-3,6981755195844",,Mutick,,
CONCIERTOS,12/9/2025,20:00,BUT,Baxter Dury,"40,4270811442368","-3,6998273772551",,TicketMaster,,
CONCIERTOS,12/9/2025,20:00,EL SOL,The Hidden Cameras (Joel Gibb Solo Show),"40,4167000000000","-3,7036000000000",,TicketMaster,,
CONCIERTOS,23/9/2025,20:00,WAGON,The Lemonheads,"40,4716159208415","-3,6820789465706",Concierto Remember,https://entradas.com/concierto,,
CONCIERTOS,2/10/2025,20:00,BUT,"Mujeres (tocando ""Un Sentimiento Importante"")","40,4270811442368","-3,6998273772551",,OchoYMedio,,
CONCIERTOS,3/10/2025,20:00,BUT,Dame Área + Sal Del Coche,"40,4270811442368","-3,6998273772551",,OchoYMedio,,
CONCIERTOS,3/10/2025,20:00,HOTEL CANOPY,The Delines,"40,4515081116804","-3,6936202907480",,Mutick,,
CONCIERTOS,7/10/2025,20:00,CAFÉ BERLÍN,Emma-Jean Thackray,"40,4197273280049","-3,7080502925965",,https://dice.fm,,
CONCIERTOS,7/10/2025,20:00,BUT,Ladilla Rusa,"40,4270811442368","-3,6998273772551",,OchoYMedio,,
CONCIERTOS,7/10/2025,20:00,CHANGÓ,Miqui Puig,"40,4320059670131","-3,6981755195844",,OchoYMedio,,
CONCIERTOS,7/10/2025,20:00,CLAMORES,Medalla,"40,4312812770905","-3,7010113384483",,Dice,,
CONCIERTOS,8/10/2025,20:00,WURLITZER,The Exploding Hearts,"40,4198497297943","-3,7024780928829",,https://dice.fm,,
CONCIERTOS,8/10/2025,20:00,TEATRO REAL,Patti Smith & Her Band,"40,4182466264012","-3,7095676434484","Patti Smith & Her Band on the 50th anniversary perform ""Horses"" - Entradas desde 70 a 225€",TeatroReal,,
CONCIERTOS,9/10/2025,20:00,EL SOL,Henge,"40,4167000000000","-3,7036000000000",Concierto,https://dice.fm,,
CONCIERTOS,10/10/2025,20:00,WURLITZER,Las Dianas,"40,4198497297943","-3,7024780928829",,Dice,,
CONCIERTOS,10/10/2025,20:00,MON LIVE,Gogol Bordello,"40,4359491687017","-3,7165521825082",,https://dice.fm,,
CONCIERTOS,11/10/2025,20:00,WAGON,Yann Tiersen,"40,4716159208415","-3,6820789465706","Gira ""Solo Piano + Electronics""",TicketMaster,,
CONCIERTOS,12/10/2025,20:00,CAFÉ BERLÍN,Wayne Snow,"40,4197273280049","-3,7080502925965",,Dice,,
CONCIERTOS,1/11/2025,20:00,MARAVILLAS,Infinity Knives & Brian Ennals,"40,4258102311284","-3,7036087186617",,Dice,,
CONCIERTOS,1/11/2025,20:00,EL SOL,Big Special,"40,4167000000000","-3,7036000000000",,FeverUp,,
CONCIERTOS,3/11/2025,20:00,CAFÉ LA PALMA,Bikini Beach,"40,4269406116212","-3,7076401219991",,Dice,,
CONCIERTOS,4/11/2025,20:00,WAGON,The Limiñanas,"40,4716159208415","-3,6820789465706",,Dice,,
CONCIERTOS,5/11/2025,20:00,EL SOL,Lilly Hiatt,"40,4167000000000","-3,7036000000000",,Mutick,,
